plant_type,soil_fertility,irrigation_efficiency,boost_strategy,growth_hack,ideal_ph,recommendation
Guava,High,51-100% (High),Maintain current management.,Prune to a single trunk for higher commercial yield.,5.0-7.0,Excellent management. Guava is on track for maximum production.
Neem,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Intercrop with legumes to fix natural nitrogen.,6.5-8.0,Neem needs a nutrient boost to increase yield.
Neem,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Intercrop with legumes to fix natural nitrogen.,6.5-8.0,Neem needs a nutrient boost to increase yield.
Neem,Medium,0-50% (Low),Repair irrigation leaks.,Apply organic manure every six months.,6.5-8.0,Repair pipes to save 30% more water for production.
Neem,Medium,51-100% (High),Maintain current management.,Avoid nitrogen-heavy fertilizers in mature trees.,6.5-8.0,Excellent management. Neem is on track for maximum production.
Neem,High,0-50% (Low),Repair irrigation leaks.,Apply organic manure every six months.,6.5-8.0,Repair pipes to save 30% more water for production.
Neem,High,51-100% (High),Maintain current management.,Avoid nitrogen-heavy fertilizers in mature trees.,6.5-8.0,Excellent management. Neem is on track for maximum production.
Sheesham,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Deep plow around the root zone for better aeration.,6.0-7.5,Sheesham needs a nutrient boost to increase yield.
Sheesham,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Deep plow around the root zone for better aeration.,6.0-7.5,Sheesham needs a nutrient boost to increase yield.
Sheesham,Medium,0-50% (Low),Repair irrigation leaks.,Maintain wide spacing between trees to avoid competition.,6.0-7.5,Repair pipes to save 30% more water for production.
Sheesham,Medium,51-100% (High),Maintain current management.,Treat with copper fungicide if leaf spots appear.,6.0-7.5,Excellent management. Sheesham is on track for maximum production.
Sheesham,High,0-50% (Low),Repair irrigation leaks.,Maintain wide spacing between trees to avoid competition.,6.0-7.5,Repair pipes to save 30% more water for production.
Sheesham,High,51-100% (High),Maintain current management.,Treat with copper fungicide if leaf spots appear.,6.0-7.5,Excellent management. Sheesham is on track for maximum production.
Rubber Tree,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Clean leaves with a damp cloth to boost photosynthesis.,6.0-7.5,Rubber Tree needs a nutrient boost to increase yield.
Rubber Tree,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Clean leaves with a damp cloth to boost photosynthesis.,6.0-7.5,Rubber Tree needs a nutrient boost to increase yield.
Rubber Tree,Medium,0-50% (Low),Repair irrigation leaks.,Avoid overwatering; let topsoil dry out.,6.0-7.5,Repair pipes to save 30% more water for production.
Rubber Tree,Medium,51-100% (High),Maintain current management.,Repot every 2 years for root expansion.,6.0-7.5,Excellent management. Rubber Tree is on track for maximum production.
Rubber Tree,High,0-50% (Low),Repair irrigation leaks.,Avoid overwatering; let topsoil dry out.,6.0-7.5,Repair pipes to save 30% more water for production.
Rubber Tree,High,51-100% (High),Maintain current management.,Repot every 2 years for root expansion.,6.0-7.5,Excellent management. Rubber Tree is on track for maximum production.
Sufaida,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Ensure full sun exposure for rapid growth.,5.5-7.0,Sufaida needs a nutrient boost to increase yield.
Sufaida,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Ensure full sun exposure for rapid growth.,5.5-7.0,Sufaida needs a nutrient boost to increase yield.
Sufaida,Medium,0-50% (Low),Repair irrigation leaks.,Dig deep pits for root vertical growth.,5.5-7.0,Repair pipes to save 30% more water for production.
Sufaida,Medium,51-100% (High),Maintain current management.,Harvest at 5-7 years for maximum wood density.,5.5-7.0,Excellent management. Sufaida is on track for maximum production.
Sufaida,High,0-50% (Low),Repair irrigation leaks.,Dig deep pits for root vertical growth.,5.5-7.0,Repair pipes to save 30% more water for production.
Sufaida,High,51-100% (High),Maintain current management.,Harvest at 5-7 years for maximum wood density.,5.5-7.0,Excellent management. Sufaida is on track for maximum production.
Aloe Vera,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Use sandy soil mix for maximum root health.,6.0-8.5,Aloe Vera needs a nutrient boost to increase yield.
Aloe Vera,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Use sandy soil mix for maximum root health.,6.0-8.5,Aloe Vera needs a nutrient boost to increase yield.
Aloe Vera,Medium,0-50% (Low),Repair irrigation leaks.,Harvest older outer leaves first.,6.0-8.5,Repair pipes to save 30% more water for production.
Aloe Vera,Medium,51-100% (High),Maintain current management.,Separate "pups" (offshoots) to prevent crowding.,6.0-8.5,Excellent management. Aloe Vera is on track for maximum production.
Aloe Vera,High,0-50% (Low),Repair irrigation leaks.,Harvest older outer leaves first.,6.0-8.5,Repair pipes to save 30% more water for production.
Aloe Vera,High,51-100% (High),Maintain current management.,Separate "pups" (offshoots) to prevent crowding.,6.0-8.5,Excellent management. Aloe Vera is on track for maximum production.
Rabail/Jasmine,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Support with a trellis for better sun exposure.,6.0-7.5,Rabail/Jasmine needs a nutrient boost to increase yield.
Rabail/Jasmine,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Support with a trellis for better sun exposure.,6.0-7.5,Rabail/Jasmine needs a nutrient boost to increase yield.
Rabail/Jasmine,Medium,0-50% (Low),Repair irrigation leaks.,Prune immediately after the flowering season.,6.0-7.5,Repair pipes to save 30% more water for production.
Rabail/Jasmine,Medium,51-100% (High),Maintain current management.,Apply organic liquid fertilizer once a month.,6.0-7.5,Excellent management. Rabail/Jasmine is on track for maximum production.
Rabail/Jasmine,High,0-50% (Low),Repair irrigation leaks.,Prune immediately after the flowering season.,6.0-7.5,Repair pipes to save 30% more water for production.
Rabail/Jasmine,High,51-100% (High),Maintain current management.,Apply organic liquid fertilizer once a month.,6.0-7.5,Excellent management. Rabail/Jasmine is on track for maximum production.
Toot,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Prune heavily in winter for better berry yield.,6.0-7.0,Toot needs a nutrient boost to increase yield.
Toot,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Prune heavily in winter for better berry yield.,6.0-7.0,Toot needs a nutrient boost to increase yield.
Toot,Medium,0-50% (Low),Repair irrigation leaks.,Protect ripening berries from birds with netting.,6.0-7.0,Repair pipes to save 30% more water for production.
Toot,Medium,51-100% (High),Maintain current management.,Use well-rotted manure for sweet fruit.,6.0-7.0,Excellent management. Toot is on track for maximum production.
Toot,High,0-50% (Low),Repair irrigation leaks.,Protect ripening berries from birds with netting.,6.0-7.0,Repair pipes to save 30% more water for production.
Toot,High,51-100% (High),Maintain current management.,Use well-rotted manure for sweet fruit.,6.0-7.0,Excellent management. Toot is on track for maximum production.
Java Plum,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Apply phosphorus during the early flowering stage.,5.5-7.5,Java Plum needs a nutrient boost to increase yield.
Java Plum,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Apply phosphorus during the early flowering stage.,5.5-7.5,Java Plum needs a nutrient boost to increase yield.
Java Plum,Medium,0-50% (Low),Repair irrigation leaks.,Mulch to maintain cool root temperatures.,5.5-7.5,Repair pipes to save 30% more water for production.
Java Plum,Medium,51-100% (High),Maintain current management.,Avoid excess nitrogen during fruit ripening.,5.5-7.5,Excellent management. Java Plum is on track for maximum production.
Java Plum,High,0-50% (Low),Repair irrigation leaks.,Mulch to maintain cool root temperatures.,5.5-7.5,Repair pipes to save 30% more water for production.
Java Plum,High,51-100% (High),Maintain current management.,Avoid excess nitrogen during fruit ripening.,5.5-7.5,Excellent management. Java Plum is on track for maximum production.
